,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Total Regions
0011 University of Chester Estimated Incoming Inf,0.03,2.0835,0.10099999999999999,0.036000000000000004,0.5205,0.049,0.021,0.0285,0.04,2.9094999999999995
0082 The University of Chichester Estimated Incoming Inf,0.004,0.018,0.01,0.014499999999999999,0.034499999999999996,0.057999999999999996,0.031,0.359,0.07,0.599
"0115 City, University of London Estimated Incoming Inf",0.007000000000000001,0.048,0.016,0.014499999999999999,0.051,0.20600000000000002,0.903,0.10550000000000001,0.040999999999999995,1.3919999999999997
0199 Conservatoire for Dance and Drama Estimated Incoming Inf,0.007000000000000001,0.0195,0.016,0.0045000000000000005,0.015,0.016,0.0235,0.017,0.02,0.1385
0201 Courtauld Institute of Art Estimated Incoming Inf,0.0,0.0045,0.001,0.001,0.003,0.005,0.0125,0.005,0.007000000000000001,0.039
0056 Coventry University Estimated Incoming Inf,0.019000000000000003,0.144,0.151,0.198,3.0315,0.29900000000000004,0.4125,0.18650000000000003,0.11599999999999999,4.557499999999999
0002 Cranfield University Estimated Incoming Inf,0.006,0.036,0.015,0.014000000000000002,0.045,0.066,0.033,0.054000000000000006,0.11900000000000001,0.388
0206 University for the Creative Arts Estimated Incoming Inf,0.003,0.0225,0.013000000000000001,0.01,0.039,0.068,0.08800000000000001,0.1945,0.039,0.47700000000000004
0038 University of Cumbria Estimated Incoming Inf,0.07600000000000001,1.1415,0.061000000000000006,0.013000000000000001,0.03,0.021,0.0555,0.011500000000000002,0.019000000000000003,1.4285
0068 De Montfort University Estimated Incoming Inf,0.023000000000000003,0.16649999999999998,0.117,0.76,0.7755,0.35700000000000004,0.24050000000000002,0.127,0.075,2.6415
0057 University of Derby Estimated Incoming Inf,0.023000000000000003,0.1515,0.188,0.8560000000000001,0.78,0.15200000000000002,0.038000000000000006,0.050499999999999996,0.051000000000000004,2.29
