,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
38,0002 Cranfield University Estimated Incoming Infection,3.4285,2.0010000000000003,5.5825000000000005,0.063,0.027,0.12299999999999997,0.5760000000000001,0.408,0.792,0.195,0.10500000000000002,0.315,0.182,0.084,0.322,0.135,0.06,0.27,0.297,0.165,0.528,0.759,0.495,1.089,0.54,0.324,0.8640000000000001,0.4165,0.238,0.7735000000000001,0.21,0.084,0.396,0.055,0.011,0.11
39,0206 University for the Creative Arts Estimated Incoming Infection,5.4365,3.2884999999999995,8.520000000000001,0.0315,0.013499999999999998,0.061499999999999985,0.36,0.2550000000000001,0.495,0.16899999999999998,0.091,0.273,0.13,0.06,0.23,0.117,0.052000000000000005,0.234,0.306,0.17,0.544,2.024,1.32,2.9040000000000004,1.945,1.1669999999999998,3.112,0.1365,0.078,0.2535,0.1925,0.07700000000000001,0.363,0.025,0.005,0.05
40,0038 University of Cumbria Estimated Incoming Infection,22.029,14.927,31.441000000000006,0.7979999999999999,0.342,1.5579999999999998,18.264,12.937,25.113000000000003,0.7929999999999999,0.4270000000000001,1.281,0.16899999999999998,0.078,0.29900000000000004,0.09,0.04,0.18,0.0945,0.0525,0.168,1.2765,0.8325,1.8315,0.115,0.06899999999999999,0.184,0.0665,0.038000000000000006,0.1235,0.1925,0.07700000000000001,0.363,0.17,0.034,0.34
41,0068 De Montfort University Estimated Incoming Infection,25.986,14.081499999999998,43.32750000000001,0.2415,0.1035,0.4715,2.664,1.887,3.663,1.521,0.8190000000000001,2.457,9.88,4.56,17.48,2.3265,1.034,4.6530000000000005,1.6065,0.8925,2.8560000000000003,5.5314999999999985,3.6075,7.9365,1.27,0.762,2.032,0.2625,0.15,0.4875,0.6475,0.259,1.2209999999999999,0.035,0.007000000000000001,0.07
42,0057 University of Derby Estimated Incoming Infection,21.2565,10.8355,36.55900000000001,0.2415,0.1035,0.4715,2.424,1.7169999999999999,3.333,2.444,1.3160000000000005,3.948,11.128,5.136,19.688,2.34,1.04,4.68,0.6839999999999999,0.38,1.2160000000000002,0.8740000000000001,0.57,1.254,0.505,0.303,0.8079999999999999,0.17850000000000002,0.102,0.3315,0.4025,0.161,0.759,0.035,0.007000000000000001,0.07
43,0172 The University of Dundee Estimated Incoming Infection,11.008,3.1960000000000006,20.959,0.3045,0.13049999999999998,0.5944999999999999,0.984,0.6970000000000001,1.3530000000000002,0.273,0.14700000000000002,0.441,0.091,0.042,0.161,0.063,0.028000000000000004,0.126,0.099,0.055,0.17600000000000002,0.3565,0.2325,0.5115000000000001,0.15,0.09,0.24,0.042,0.024,0.07800000000000001,0.105,0.042,0.198,8.54,1.7080000000000002,17.08
44,0116 University of Durham Estimated Incoming Infection,23.8205,13.7015,38.6885,4.1789999999999985,1.791,8.158999999999999,5.928,4.199000000000002,8.151,2.951,1.589,4.767,0.8710000000000001,0.402,1.541,0.5805,0.258,1.161,1.1925,0.6625,2.12,4.186,2.73,6.006,2.25,1.35,3.6,0.5425000000000001,0.31,1.0075,0.91,0.3640000000000001,1.716,0.23,0.046000000000000006,0.46
45,0117 The University of East Anglia Estimated Incoming Infection,16.991000000000003,9.9045,27.9545,0.2415,0.1035,0.4715,1.104,0.782,1.518,0.754,0.406,1.218,0.8645,0.399,1.5295,0.2655,0.118,0.531,6.8985,3.8325,12.264,4.4275,2.8875,6.3525,1.82,1.092,2.912,0.273,0.156,0.507,0.2975,0.119,0.561,0.045,0.009000000000000001,0.09
46,0058 The University of East London Estimated Incoming Infection,22.767,14.577,33.450500000000005,0.0735,0.0315,0.1435,0.696,0.4930000000000001,0.957,0.23399999999999999,0.126,0.378,0.182,0.084,0.322,0.1395,0.062,0.279,0.9855,0.5475,1.7520000000000002,19.412,12.66,27.852000000000004,0.71,0.426,1.136,0.11200000000000003,0.064,0.208,0.1925,0.07700000000000001,0.363,0.03,0.006,0.06
47,0016 Edge Hill University Estimated Incoming Infection,54.2985,37.62900000000001,76.11399999999998,0.2415,0.1035,0.4715,50.664,35.887,69.663,1.105,0.5950000000000001,1.785,0.2665,0.12299999999999997,0.4715,0.3735,0.166,0.747,0.1035,0.0575,0.184,0.184,0.12,0.264,0.135,0.081,0.21600000000000005,0.063,0.036000000000000004,0.11699999999999999,1.1375,0.4550000000000001,2.145,0.025,0.005,0.05
