,MSOA Code,All Ages,geography code,num_students,student_prop
259,E02002743,5541,E02002743,212,0.03826024183360404
260,E02002744,7234,E02002744,380,0.05252972076306331
261,E02002745,7217,E02002745,285,0.0394900928363586
262,E02002746,9763,E02002746,429,0.043941411451398134
263,E02002747,8547,E02002747,339,0.03966303966303966
264,E02002748,7850,E02002748,372,0.04738853503184713
265,E02002749,11670,E02002749,427,0.03658954584404456
266,E02002750,6308,E02002750,274,0.043436905516804056
267,E02002751,6475,E02002751,285,0.044015444015444015
268,E02002752,7097,E02002752,255,0.03593067493307031
269,E02002753,8660,E02002753,287,0.03314087759815242
270,E02002754,8412,E02002754,364,0.0432715168806467
271,E02002755,7899,E02002755,364,0.046081782504114446
272,E02002756,9618,E02002756,442,0.045955500103971716
273,E02002757,6470,E02002757,268,0.04142194744976816
274,E02002758,6280,E02002758,333,0.05302547770700637
275,E02002759,9545,E02002759,408,0.042744892613933994
276,E02002760,5933,E02002760,278,0.04685656497556043
277,E02002761,6589,E02002761,262,0.039763241766580665
278,E02002762,6701,E02002762,333,0.04969407551111774
279,E02002763,8819,E02002763,346,0.039233473182900554
280,E02002764,6037,E02002764,275,0.04555242670200431
281,E02002765,6369,E02002765,342,0.053697597739048517
282,E02002766,9049,E02002766,372,0.04110951486352083
283,E02002767,6602,E02002767,271,0.04104816722205392
284,E02002768,7686,E02002768,306,0.03981264637002342
285,E02002769,5724,E02002769,229,0.040006988120195666
286,E02002770,7057,E02002770,294,0.0416607623636106
287,E02002771,7292,E02002771,282,0.03867251782775644
288,E02002772,6971,E02002772,325,0.04662171854827141
289,E02002773,5744,E02002773,180,0.031337047353760444
290,E02002774,6099,E02002774,238,0.039022790621413346
291,E02002775,5752,E02002775,265,0.04607093184979138
292,E02002776,6872,E02002776,275,0.0400174621653085
293,E02002777,8508,E02002777,332,0.03902209685002351
294,E02002778,8407,E02002778,433,0.05150469846556441
295,E02002779,9723,E02002779,825,0.08485035482875655
296,E02002780,8669,E02002780,1025,0.1182373976237167
297,E02002781,11444,E02002781,2011,0.17572527088430617
298,E02002782,6374,E02002782,404,0.06338249137119548
299,E02002783,10469,E02002783,434,0.0414557264304136
300,E02002784,13475,E02002784,1887,0.14003710575139147
301,E02002785,8405,E02002785,1135,0.13503866745984533
302,E02002786,11344,E02002786,3442,0.3034203102961918
303,E02002787,9369,E02002787,322,0.03436866261073754
304,E02002788,9089,E02002788,558,0.06139289250742656
305,E02002789,9229,E02002789,397,0.04301657817748402
306,E02002790,13167,E02002790,2528,0.1919951393635604
307,E02002791,6479,E02002791,253,0.03904923599320883
308,E02002792,7801,E02002792,474,0.06076144084091783
309,E02002793,9342,E02002793,416,0.04453007921216014
310,E02002794,9590,E02002794,4174,0.43524504692387905
311,E02002795,8296,E02002795,336,0.040501446480231434
312,E02002796,6047,E02002796,277,0.04580783859765173
313,E02002797,7338,E02002797,345,0.04701553556827474
314,E02002798,9567,E02002798,480,0.05017246785826278
315,E02002799,5957,E02002799,276,0.04633204633204633
316,E02002800,7076,E02002800,601,0.08493499152063312
317,E02002801,7473,E02002801,321,0.04295463669209153
318,E02002802,7982,E02002802,381,0.047732397895264345
319,E02002803,8472,E02002803,2172,0.2563739376770538
320,E02002804,8723,E02002804,396,0.04539722572509458
321,E02002805,5480,E02002805,227,0.04142335766423358
322,E02002806,6345,E02002806,1607,0.2532702915681639
323,E02002807,8675,E02002807,403,0.04645533141210375
324,E02002808,13056,E02002808,2364,0.18106617647058823
325,E02002809,6681,E02002809,263,0.03936536446639725
326,E02002810,8432,E02002810,406,0.04814990512333966
327,E02002811,11333,E02002811,861,0.0759728227300803
328,E02002812,7575,E02002812,431,0.0568976897689769
329,E02002813,11851,E02002813,729,0.06151379630410936
330,E02002814,7000,E02002814,341,0.04871428571428572
331,E02002815,8789,E02002815,571,0.06496757310274207
332,E02002816,9503,E02002816,614,0.06461117541828897
333,E02002817,6232,E02002817,393,0.06306161745827984
334,E02002818,8694,E02002818,470,0.0540602714515758
335,E02002819,7926,E02002819,299,0.03772394650517285
336,E02002820,9692,E02002820,491,0.05066033842344202
337,E02002821,12152,E02002821,636,0.05233706385780119
338,E02002822,6620,E02002822,350,0.052870090634441085
339,E02002823,7339,E02002823,350,0.0476904210382886
340,E02002824,9791,E02002824,556,0.05678684506179144
341,E02002825,8580,E02002825,360,0.04195804195804196
342,E02002826,6921,E02002826,339,0.04898136107498916
343,E02002827,6308,E02002827,444,0.07038681039949271
344,E02002828,7727,E02002828,451,0.05836676588585479
345,E02002829,11286,E02002829,654,0.057947900053163214
346,E02002830,10079,E02002830,713,0.07074114495485663
347,E02002831,6809,E02002831,525,0.07710383316199149
348,E02002832,9159,E02002832,746,0.08144993994977617
349,E02002833,8340,E02002833,749,0.08980815347721822
350,E02002834,11256,E02002834,699,0.0621002132196162
351,E02002835,14393,E02002835,876,0.06086291947474467
352,E02002836,9547,E02002836,848,0.08882371425578715
353,E02002837,8477,E02002837,568,0.06700483661672761
354,E02002838,8049,E02002838,520,0.06460429867064231
355,E02002839,7863,E02002839,434,0.05519521811013608
356,E02002842,8585,E02002842,621,0.07233546884100174
357,E02002843,14185,E02002843,1199,0.08452590764892493
358,E02002844,11626,E02002844,1084,0.09323929124376398
